name,domain,segment
MarketBetter,marketbetter.ai,GTM Automation / Revenue Intelligence
Marketo,marketo.com,Email Marketing / Marketing Automation
Martal,martal.ca,AI SDR / AI Sales Agent
Matterport,matterport.com,Other / General SaaS
Mautic,mautic.org,Email Marketing / Marketing Automation
MaxContact,maxcontact.co.uk,Sales Engagement Platform
Maximizer,maximizer.com,CRM / Sales Ops
Maxy,maxy.ai,AI SDR / AI Sales Agent
Mazze,mazze.io,Other / General SaaS
Mediafly,mediafly.com,Conversation Intelligence / Enablement
Meera AI,meeraai.com,AI SDR / AI Sales Agent
Meet Alfred,meetalfred.com,LinkedIn Automation
MeetGeek,meetgeek.ai,Conversation Intelligence / Enablement
Meetingbird,meetingbird.com,Other / General SaaS
Memo,usememo.com,Other / General SaaS
Mentimeter,mentimeter.com,Other / General SaaS
Metalake,metalake.io,Other / General SaaS
Metalytics,metalytics.io,Other / General SaaS
Microsoft Teams,teams.microsoft.com,Other / General SaaS
Millionverifier,millionverifier.com,Email Infrastructure / Warmup
MindBridge AI,mindbridge.ai,Other / General SaaS
Mindpath,mindpath.ai,Other / General SaaS
Mindtickle,mindtickle.com,Conversation Intelligence / Enablement
Minelead,minelead.io,B2B Data / Enrichment / Prospecting
Missive,missiveapp.com,Other / General SaaS
Mixmax,mixmax.com,Sales Engagement Platform
MoEngage,moengage.com,Email Marketing / Marketing Automation
Mobivity,mobivity.com,Email Marketing / Marketing Automation
Modjo,modjo.ai,Conversation Intelligence / Enablement
Monday CRM,monday.com,CRM / Sales Ops
Moon,moon.io,Other / General SaaS
Moosend,moosend.com,Email Marketing / Marketing Automation
Morphio,morphio.ai,GTM Automation / Revenue Intelligence
Motion,usemotion.com,Other / General SaaS
Mouseflow,mouseflow.com,Other / General SaaS
Mumara,mumara.com,Email Marketing / Marketing Automation
Munvo,munvo.com,Email Marketing / Marketing Automation
Muraena,muraena.io,B2B Data / Enrichment / Prospecting
Mystrika,mystrika.com,Cold Email Platform
Naro,usenaro.com,Sales Engagement Platform
Narratto,narratto.io,Other / General SaaS
Natterbox,natterbox.com,Sales Engagement Platform
Navattic,navattic.com,Sales Engagement Platform
Negometrix,negometrix.com,Other / General SaaS
NetHunt CRM,nethunt.com,CRM / Sales Ops
Netcore,netcorecloud.com,Email Marketing / Marketing Automation
NeverBounce,neverbounce.com,Email Infrastructure / Warmup
Nextiva,nextiva.com,Other / General SaaS
Nexus,nexusai.io,AI SDR / AI Sales Agent
Nimble,nimble.com,CRM / Sales Ops
Ninetailed,ninetailed.io,GTM Automation / Revenue Intelligence
Ninja Outreach,ninjaoutreach.com,Cold Email Platform
Node.ai,node.ai,B2B Data / Enrichment / Prospecting
Nodesk,nodesk.com,Other / General SaaS
Noisy,noisy.ai,Cold Email Platform
Nooks,nooks.ai,Sales Engagement Platform
Norby,norby.live,Other / General SaaS
NorthBeam,northbeam.io,GTM Automation / Revenue Intelligence
Notta,notta.ai,Conversation Intelligence / Enablement
Nrich,nrich.io,GTM Automation / Revenue Intelligence
NudgeAI,nudge.ai,GTM Automation / Revenue Intelligence
Nureply,nureply.com,Cold Email Platform
Nutshell,nutshell.com,CRM / Sales Ops
Nymeria,nymeria.io,B2B Data / Enrichment / Prospecting
Objective Manager,objectivemanager.com,Other / General SaaS
Ocean.io,ocean.io,B2B Data / Enrichment / Prospecting
Octopus CRM,octopuscrm.io,LinkedIn Automation
Olark,olark.com,Other / General SaaS
Oliv AI,oliv.ai,Conversation Intelligence / Enablement
Omedym,omedym.com,Sales Engagement Platform
Omnisend,omnisend.com,Email Marketing / Marketing Automation
OnFire AI,onfire.ai,AI SDR / AI Sales Agent
OneMob,onemob.com,Sales Engagement Platform
OnePageCRM,onepagecrm.com,CRM / Sales Ops
OneUp Sales,oneupsales.com,CRM / Sales Ops
OntraPort,ontraport.com,CRM / Sales Ops
Openers,openers.io,Cold Email Platform
Openprise,openprisetech.com,GTM Automation / Revenue Intelligence
Openstream,openstream.ai,AI SDR / AI Sales Agent
Optimizely,optimizely.com,Other / General SaaS
OptinMonster,optinmonster.com,Other / General SaaS
Orum,orum.io,Sales Engagement Platform
Otter.ai,otter.ai,Conversation Intelligence / Enablement
Outbound Sales Pro,outboundsalespro.com,Cold Email Platform
Outboundly,outboundly.com,Cold Email Platform
Outdoo,outdoo.ai,Cold Email Platform
Outplay,outplayhq.com,Sales Engagement Platform
Outreach,outreach.io,Sales Engagement Platform
Outreach.ai,outreach.ai,AI SDR / AI Sales Agent
OutreachBin,outreachbin.com,Cold Email Platform
Outreachly,outreachly.com,Cold Email Platform
Overloop,overloop.com,Sales Engagement Platform
PFL,pfl.com,Sales Engagement Platform
Padres,padres.ai,AI SDR / AI Sales Agent
PageTiger,pagetiger.com,Other / General SaaS
Painpoints.ai,painpoints.ai,GTM Automation / Revenue Intelligence
PandaDoc,pandadoc.com,Other / General SaaS
Paperflite,paperflite.com,Conversation Intelligence / Enablement
Parative,parative.com,GTM Automation / Revenue Intelligence
Pardot,pardot.com,Email Marketing / Marketing Automation
Parrot,parrotcrm.com,CRM / Sales Ops
PartnerHQ,partnerhq.ai,Other / General SaaS
Pearl Diver,pearldiver.io,GTM Automation / Revenue Intelligence
PearlLemon Leads,pearllemonleads.com,B2B Data / Enrichment / Prospecting
Pendo,pendo.io,Other / General SaaS
People.ai,people.ai,GTM Automation / Revenue Intelligence
Pepipost,pepipost.com,Email Infrastructure / Warmup
Pepo Campaigns,pepocampaigns.com,Email Marketing / Marketing Automation
Persana AI,persana.ai,AI SDR / AI Sales Agent
PersistIQ,persistiq.com,Cold Email Platform
PhantomBuster,phantombuster.com,LinkedIn Automation
Picreel,picreel.com,Other / General SaaS
Pipedrive,pipedrive.com,CRM / Sales Ops
PipelineCRM,pipelinecrm.com,CRM / Sales Ops
Pipeliner CRM,pipelinersales.com,CRM / Sales Ops
Pitchbox,pitchbox.com,Cold Email Platform
Plezi,plezi.co,Email Marketing / Marketing Automation
Plusvibe,plusvibe.ai,Cold Email Platform
Pocus,pocus.com,GTM Automation / Revenue Intelligence
Podio,podio.com,Other / General SaaS
Poptin,poptin.com,Other / General SaaS
Popupsmart,popupsmart.com,Other / General SaaS
Postaga,postaga.com,Cold Email Platform
Postal,postal.io,Sales Engagement Platform
Postmark,postmarkapp.com,Email Infrastructure / Warmup
Postscript,postscript.io,Email Marketing / Marketing Automation
PowerDMARC,powerdmarc.com,Email Infrastructure / Warmup
PowerDialer AI,powerdialer.ai,Sales Engagement Platform
Predictleads,predictleads.com,GTM Automation / Revenue Intelligence
Prescient AI,prescient-ai.io,GTM Automation / Revenue Intelligence
Primark,primark.com,Other / General SaaS
Primeforge,primeforge.ai,Email Infrastructure / Warmup
Primer,primer.ai,GTM Automation / Revenue Intelligence
Privy,privy.com,Email Marketing / Marketing Automation
ProProfs,proprofs.com,Other / General SaaS
Propellor AI,propellor.ai,GTM Automation / Revenue Intelligence
Proposify,proposify.com,Other / General SaaS
ProspectAI,prospectai.io,B2B Data / Enrichment / Prospecting
Prospeo,prospeo.io,B2B Data / Enrichment / Prospecting
Prosppi,prosppi.io,B2B Data / Enrichment / Prospecting
Proxycurl,proxycurl.com,B2B Data / Enrichment / Prospecting
Pulsar Platform,pulsarplatform.com,GTM Automation / Revenue Intelligence
Pure Chat,purechat.com,Other / General SaaS
Puzzle Inbox,puzzleinbox.com,Cold Email Platform
Q4,q4inc.com,Other / General SaaS
Qualified,qualified.com,GTM Automation / Revenue Intelligence
Quartet,quartetinc.com,Other / General SaaS
Querypath,querypath.com,Other / General SaaS
QuickEmailVerification,quickemailverification.com,Email Infrastructure / Warmup
QuickMail,quickmail.com,Cold Email Platform
Quicklines,quicklines.ai,Cold Email Platform
Quintype,quintype.com,Other / General SaaS
Qwilr,qwilr.com,Other / General SaaS
RB2B,rb2b.com,GTM Automation / Revenue Intelligence
Rampd,rampd.io,Sales Engagement Platform
Rankz,rankz.io,Other / General SaaS
ReachDesk,reachdesk.com,Sales Engagement Platform
ReachInbox,reachinbox.ai,Cold Email Platform
Reactin,reactin.io,Other / General SaaS
Really Simple Systems,reallysimplesystems.com,CRM / Sales Ops
Reamaze,reamaze.com,Other / General SaaS
Recog AI,recog.ai,Conversation Intelligence / Enablement
Refine,refine.dev,Other / General SaaS
Refract,refract.ai,Conversation Intelligence / Enablement
Regie AI,regie.ai,Cold Email Platform
Relata,relata.in,Other / General SaaS
Relevance AI,relevanceai.com,AI SDR / AI Sales Agent
Reply.io,reply.io,Cold Email Platform
Reprise,getreprise.com,Sales Engagement Platform
Respona,respona.com,Cold Email Platform
Retainr,retainr.io,Other / General SaaS
Retreva,retreva.com,Other / General SaaS
Reveneer,reveneer.com,Other / General SaaS
RevenuHero,revenuehero.io,GTM Automation / Revenue Intelligence
Revenue Grid,revenuegrid.com,Sales Engagement Platform
Revenue.io,revenue.io,Sales Engagement Platform
Revi,revi.ai,AI SDR / AI Sales Agent
Revscale,revscale.ai,AI SDR / AI Sales Agent
Rhythmsales,rhythmsales.com,Sales Engagement Platform
RingCentral Video,ringcentral.com,Other / General SaaS
RingDNA,ringdna.com,Sales Engagement Platform
RiseAI,rise.ai,Email Marketing / Marketing Automation
Rockerbox,rockerbox.com,GTM Automation / Revenue Intelligence
RocketBolt,rocketbolt.com,GTM Automation / Revenue Intelligence
RocketReach,rocketreach.co,B2B Data / Enrichment / Prospecting
Roger AI,get-roger.ai,AI SDR / AI Sales Agent
Rolldog,rolldog.com,CRM / Sales Ops
Rollworks,rollworks.com,GTM Automation / Revenue Intelligence
Rybbon,rybbon.net,Other / General SaaS
SBL.so,sbl.so,Cold Email Platform
SMSBump,smsbump.com,Email Marketing / Marketing Automation
SMTP Ghost,smtpghost.com,Email Infrastructure / Warmup
SMTP2GO,smtp2go.com,Email Infrastructure / Warmup
SPOTIO,spotio.com,Sales Engagement Platform
SaaSquatch,referralsaasquatch.com,Other / General SaaS
Saara AI,saara.ai,Other / General SaaS
Saasteps,saasteps.com,Other / General SaaS
SaasyDB,saasydb.com,B2B Data / Enrichment / Prospecting
Sailthru,sailthru.com,Email Marketing / Marketing Automation
SalesAI,salesai.io,AI SDR / AI Sales Agent
SalesBox AI,salesbox.ai,AI SDR / AI Sales Agent
SalesCaptain,salescaptain.io,AI SDR / AI Sales Agent
SalesDirector,salesdirector.ai,GTM Automation / Revenue Intelligence
SalesHive,saleshive.com,Cold Email Platform
SalesHood,saleshood.com,Conversation Intelligence / Enablement
SalesIntel,salesintel.io,B2B Data / Enrichment / Prospecting
SalesQL,salesql.com,B2B Data / Enrichment / Prospecting
SalesRobot,salesrobot.co,LinkedIn Automation
SalesTalk,salestalk.ai,Conversation Intelligence / Enablement
SalesWings,saleswings.app,GTM Automation / Revenue Intelligence
Salesblink,salesblink.io,Cold Email Platform
Salesdorado,salesdorado.com,Other / General SaaS
Salesfinity,salesfinity.com,Sales Engagement Platform
Salesflare,salesflare.com,CRM / Sales Ops
Salesflow,salesflow.io,LinkedIn Automation
Salesforge,salesforge.ai,Cold Email Platform
Salesgear,salesgear.io,Sales Engagement Platform
Saleshandy,saleshandy.com,Cold Email Platform
Salesken,salesken.ai,Conversation Intelligence / Enablement
Saleslion,saleslion.io,Other / General SaaS
Salesloft,salesloft.com,Sales Engagement Platform
Salesloop,salesloop.io,LinkedIn Automation
Salesmate,salesmate.io,CRM / Sales Ops
Salesmotion,salesmotion.io,Conversation Intelligence / Enablement
Salesmsg,salesmsg.com,Sales Engagement Platform
Salesvid,salesvid.com,Sales Engagement Platform
Saleswhale,saleswhale.com,AI SDR / AI Sales Agent
Savebase,savebase.io,Other / General SaaS
Savvy Cal,savvycal.com,Other / General SaaS
Sayari,sayari.com,B2B Data / Enrichment / Prospecting
Scripter,scripter.co,Other / General SaaS
Seamless.ai,seamless.ai,B2B Data / Enrichment / Prospecting
Second,second.dev,Other / General SaaS
Segment.io,segment.com,GTM Automation / Revenue Intelligence
Seismic,seismic.com,Conversation Intelligence / Enablement
Selix AI,selix.ai,AI SDR / AI Sales Agent
SellHack,sellhack.com,B2B Data / Enrichment / Prospecting
Sembly AI,sembly.ai,Conversation Intelligence / Enablement
Semrush,semrush.com,Other / General SaaS
SendForensics,sendforensics.com,Email Infrastructure / Warmup
SendGrid,sendgrid.com,Email Infrastructure / Warmup
Sendbird,sendbird.com,Other / General SaaS
Sender,sender.net,Email Marketing / Marketing Automation
Sendlane,sendlane.com,Email Marketing / Marketing Automation
Sendoso,sendoso.com,Sales Engagement Platform
Sendr,sendr.ai,Cold Email Platform
Sendspark,sendspark.com,Sales Engagement Platform
Sendy,sendy.co,Email Marketing / Marketing Automation
Sentinela,sentinela.io,Other / General SaaS
Shapetrace,shapetrace.com,Other / General SaaS
SharpSpring,sharpspring.com,Email Marketing / Marketing Automation
Sherpa,sherpa.com,Other / General SaaS
Shiftparadigm,shiftparadigm.com,Other / General SaaS
Showpad,showpad.com,Conversation Intelligence / Enablement
Signal AI,signalai.com,GTM Automation / Revenue Intelligence
SignalHire,signalhire.com,B2B Data / Enrichment / Prospecting
Signum.ai,signum.ai,GTM Automation / Revenue Intelligence
Silverfin,silverfin.com,Other / General SaaS
Similarweb,similarweb.com,B2B Data / Enrichment / Prospecting
SimpleTexting,simpletexting.com,Email Marketing / Marketing Automation
Simplero,simplero.com,Email Marketing / Marketing Automation
Simulacrum,simulacrum.ai,AI SDR / AI Sales Agent
Sitecore,sitecore.com,Email Marketing / Marketing Automation
SixthSense,sixthsense.ai,GTM Automation / Revenue Intelligence
Skrapp,skrapp.io,B2B Data / Enrichment / Prospecting
Skylead,skylead.io,LinkedIn Automation
Slack Huddles,slack.com,Other / General SaaS
Sleeknote,sleeknote.com,Other / General SaaS
Slintel,slintel.com,B2B Data / Enrichment / Prospecting
Slite,slite.com,Other / General SaaS
Smarketing Cloud,smartingcloud.io,Email Marketing / Marketing Automation
SmartAction,smartaction.ai,AI SDR / AI Sales Agent
SmartReach,smartreach.io,Sales Engagement Platform
SmartWriter,smartwriter.ai,Cold Email Platform
Smartbound,smartbound.io,Cold Email Platform
Smartlead,smartlead.ai,Cold Email Platform
Smelty,smelty.io,Other / General SaaS
Snappy Gifts,snappygifts.com,Other / General SaaS
Snov.io,snov.io,Cold Email Platform
SocketLabs,socketlabs.com,Email Infrastructure / Warmup
Softr,softr.io,Other / General SaaS
Solomoto,solomoto.com,Other / General SaaS
Sopro,sopro.io,Cold Email Platform
SparkPost,sparkpost.com,Email Infrastructure / Warmup
Sparkle,sparkle.io,Other / General SaaS
Speeko,speeko.co,Other / General SaaS
Spekit,spekit.com,Conversation Intelligence / Enablement
Spekworks,spekworks.com,Other / General SaaS
Spiff,spiff.com,CRM / Sales Ops
Spinify,spinify.com,CRM / Sales Ops
Spotlight,spotlightai.com,GTM Automation / Revenue Intelligence
Sprinklr,sprinklr.com,Email Marketing / Marketing Automation
Squadstack,squadstack.com,AI SDR / AI Sales Agent
Stackmatch,stackmatch.io,B2B Data / Enrichment / Prospecting
Stakki,stakki.io,LinkedIn Automation
Storylane,storylane.io,Sales Engagement Platform
Streak,streak.com,CRM / Sales Ops
Structurely,structurely.com,AI SDR / AI Sales Agent
Subflo,subflo.com,Other / General SaaS
SugarCRM,sugarcrm.com,CRM / Sales Ops
SuiteCRM,suitecrm.com,CRM / Sales Ops
Sumo,sumo.com,Other / General SaaS
SuperSend,supersend.io,Cold Email Platform
Superhuman,superhuman.com,Cold Email Platform
Sweep,sweep.io,CRM / Sales Ops
Sybill AI,sybill.ai,Conversation Intelligence / Enablement
SyncGTM,syncgtm.com,GTM Automation / Revenue Intelligence
Syncari,syncari.com,GTM Automation / Revenue Intelligence
Synctivate,synctivate.com,Other / General SaaS
Systeme.io,systeme.io,Email Marketing / Marketing Automation
TAMTAM,tamtam.ai,AI SDR / AI Sales Agent
Tactiq,tactiq.io,Conversation Intelligence / Enablement
Talend,talend.com,Other / General SaaS
TalentIQ,talentiq.com,B2B Data / Enrichment / Prospecting
Talkdesk,talkdesk.com,Other / General SaaS
Tango Card,tango.us,Other / General SaaS
Taplio,taplio.com,LinkedIn Automation
Targetprocess,targetprocess.com,Other / General SaaS
Taskade,taskade.com,Other / General SaaS
Tawk.to,tawk.to,Other / General SaaS
TeamFluence,teamfluence.io,LinkedIn Automation
Teamgate,teamgate.com,CRM / Sales Ops
Teamleader,teamleader.eu,CRM / Sales Ops
TechTarget,techtarget.com,GTM Automation / Revenue Intelligence
Telepath,telepath.io,Other / General SaaS
Tendlyweb,tendly.io,Other / General SaaS
Tenor,tenor.com,Other / General SaaS
Terminus,terminus.com,GTM Automation / Revenue Intelligence
Ternary,ternarycloud.com,Other / General SaaS
Textdrip,textdrip.com,Email Marketing / Marketing Automation
Textedly,textedly.com,Email Marketing / Marketing Automation
Thoughtspot,thoughtspot.com,Other / General SaaS
Threedium,threedium.com,Other / General SaaS
Thrive Leads,thrivethemes.com,Other / General SaaS
ThriveDesk,thrivedesk.com,Other / General SaaS
Throxy,throxy.com,Cold Email Platform
Tick,tick.ai,AI SDR / AI Sales Agent
Tidio,tidio.com,Other / General SaaS
Tillr,tillr.io,Other / General SaaS
Timezone,timezone.io,Other / General SaaS
Timpleado,timpleado.com,Other / General SaaS
Tofu HQ,tofuhq.com,GTM Automation / Revenue Intelligence
Tomba,tomba.io,B2B Data / Enrichment / Prospecting
Tookan,tookan.io,Other / General SaaS
Toplyne,toplyne.io,GTM Automation / Revenue Intelligence
Topo,topo.io,AI SDR / AI Sales Agent
Touchpoint,thetouchpoint.io,Sales Engagement Platform
Tourial,tourial.com,Sales Engagement Platform
Tray.io,tray.io,Other / General SaaS
Trellus,trellus.ai,Sales Engagement Platform
Tremendous,tremendous.com,Other / General SaaS
Trendemon,trendemon.com,GTM Automation / Revenue Intelligence
Trenzier,trenzier.io,Other / General SaaS
Trew Knowledge,trewknowledge.com,Other / General SaaS
Triblio,triblio.com,GTM Automation / Revenue Intelligence
Trigify,trigify.io,GTM Automation / Revenue Intelligence
Triple Whale,triplewhale.com,GTM Automation / Revenue Intelligence
TrulyInbox,trulyinbox.com,Email Infrastructure / Warmup
Trumpet,sendtrumpet.com,Sales Engagement Platform
Turbo,turbohq.io,Other / General SaaS
Twain,twain.so,Cold Email Platform
Twenty CRM,twenty.com,CRM / Sales Ops
Twilio,twilio.com,Email Infrastructure / Warmup
Twitter Outreach,twitter.com,Other / General SaaS
Typewise,typewise.app,Other / General SaaS
Uberflip,uberflip.com,Conversation Intelligence / Enablement
Umbrela,umbrela.io,Other / General SaaS
Unbounce,unbounce.com,Other / General SaaS
Unicko,unicko.com,Other / General SaaS
Unify,unifygtm.com,GTM Automation / Revenue Intelligence
Uniqode,uniqode.com,Other / General SaaS
Unison,unison.com,Other / General SaaS
Unito,unito.io,Other / General SaaS
Unitrends,unitrends.com,Other / General SaaS
Unomaly,unomaly.com,Other / General SaaS
Unvoo,unvoo.com,Other / General SaaS
UpLead,uplead.com,B2B Data / Enrichment / Prospecting
Upsales,upsales.com,CRM / Sales Ops
UserGems,usergems.com,GTM Automation / Revenue Intelligence
Userlike,userlike.com,Other / General SaaS
Userpilot,userpilot.com,Other / General SaaS
Usetiful,usetiful.com,Other / General SaaS
Vainu,vainu.io,B2B Data / Enrichment / Prospecting
Validity,validity.com,Email Infrastructure / Warmup
Valimail,valimail.com,Email Infrastructure / Warmup
Valley AI,joinvalley.co,AI SDR / AI Sales Agent
VanillaSoft,vanillasoft.com,Sales Engagement Platform
Vbrick,vbrick.com,Other / General SaaS
Vector Agents,vectoragents.ai,AI SDR / AI Sales Agent
Veed.io,veed.io,Other / General SaaS
Vendasta,vendasta.com,CRM / Sales Ops
Venta AI,ventaai.com,AI SDR / AI Sales Agent
Verse,verse.io,AI SDR / AI Sales Agent
Versium,versium.com,B2B Data / Enrichment / Prospecting
Vidyard,vidyard.com,Sales Engagement Platform
Vimeo,vimeo.com,Other / General SaaS
Viola Norbert,voilanorbert.com,B2B Data / Enrichment / Prospecting
VipeCloud,vipecloud.com,Sales Engagement Platform
Virtuous CRM,virtuouscrm.com,CRM / Sales Ops
Visions,visions.ai,Other / General SaaS
Visitor Queue,visitorqueue.com,GTM Automation / Revenue Intelligence
VisualVisitor,visualvisitor.com,GTM Automation / Revenue Intelligence
Vocalcom,vocalcom.com,Other / General SaaS
Vocus.io,vocus.io,Cold Email Platform
VoiceOps,voiceops.com,Conversation Intelligence / Enablement
VoiceSpin,voicespin.com,Sales Engagement Platform
Voiceform,voiceform.io,Other / General SaaS
Voltdb,voltdb.com,Other / General SaaS
Vonage,vonage.com,Other / General SaaS
Voodle,voodle.com,Other / General SaaS
Voucherify,voucherify.io,Other / General SaaS
Vtiger,vtiger.com,CRM / Sales Ops
Waalaxy,waalaxy.com,LinkedIn Automation
WalkMe,walkme.com,Other / General SaaS
Walnut,walnut.io,Sales Engagement Platform
Wappalyzer,wappalyzer.com,B2B Data / Enrichment / Prospecting
WarmLeads,warmleads.io,Email Infrastructure / Warmup
Warmbox,warmbox.ai,Email Infrastructure / Warmup
Warmforge,warmforge.ai,Email Infrastructure / Warmup
Warmly,warmly.ai,GTM Automation / Revenue Intelligence
Warmup Inbox,warmupinbox.com,Email Infrastructure / Warmup
Warmy,warmy.io,Email Infrastructure / Warmup
Waypoint,usewaypoint.com,Other / General SaaS
WeConnect,weconnect.chat,LinkedIn Automation
WebEngage,webengage.com,Email Marketing / Marketing Automation
Webex,webex.com,Other / General SaaS
Whaly,whaly.io,GTM Automation / Revenue Intelligence
Whatconverts,whatconverts.com,GTM Automation / Revenue Intelligence
Whatfix,whatfix.com,Other / General SaaS
Whereby,whereby.com,Other / General SaaS
WhoKnows,whoknows.com,B2B Data / Enrichment / Prospecting
Willow,getwillow.com,AI SDR / AI Sales Agent
Wingman,trywingman.com,Conversation Intelligence / Enablement
Winmo,winmo.com,B2B Data / Enrichment / Prospecting
Wire,wire.com,Other / General SaaS
Wireframe,wireframe.cc,Other / General SaaS
Wisepops,wisepops.com,Other / General SaaS
Wishlist,wishlistmember.com,Other / General SaaS
Wistia,wistia.com,Other / General SaaS
Wiza,wiza.co,B2B Data / Enrichment / Prospecting
Wobaka,wobaka.com,CRM / Sales Ops
Woodpecker,woodpecker.co,Cold Email Platform
Woopra,woopra.com,GTM Automation / Revenue Intelligence
Workato,workato.com,Other / General SaaS
Wrike,wrike.com,Other / General SaaS
Xactly,xactly.com,CRM / Sales Ops
Xcally,xcally.com,Other / General SaaS
Xsellco,xsellco.com,Other / General SaaS
Yesware,yesware.com,Cold Email Platform
Yieldify,yieldify.com,GTM Automation / Revenue Intelligence
Yoast,yoast.com,Other / General SaaS
ZELIQ,zeliq.com,B2B Data / Enrichment / Prospecting
Zapier,zapier.com,Other / General SaaS
Zaplify,zaplify.com,Cold Email Platform
Zapmail,zapmail.ai,Email Infrastructure / Warmup
Zendesk Sell,zendesk.com,CRM / Sales Ops
Zeotap,zeotap.com,B2B Data / Enrichment / Prospecting
ZeroBounce,zerobounce.net,Email Infrastructure / Warmup
Zetlr,zetlr.com,Other / General SaaS
Zilker Tech,zilkertech.com,Other / General SaaS
Zirtual,zirtual.com,Other / General SaaS
Zoho CRM,zoho.com,CRM / Sales Ops
Zoom,zoom.us,Other / General SaaS
Zopto,zopto.com,LinkedIn Automation
eSputnik,esputnik.com,Email Marketing / Marketing Automation
iSpionage,ispionage.com,GTM Automation / Revenue Intelligence
n8n,n8n.io,Other / General SaaS
tl;dv,tldv.io,Conversation Intelligence / Enablement
